filename,package_name,app_name,version_code,version_name,num_permissions,num_activities,num_services,num_receivers,num_providers,num_intents,total_methods,has_native_code,file_size_kb,num_files
sleep-sounds-craftsman-spirit.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
Facemoji_Keyboard_v2.8.5.1.apk,com.facemoji.lite.xiaomi.gp,Emoji Keyboard,677,Unknown,23,55,24,29,7,11,67531,1,31109.6962890625,6087
astro-secrets.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
com-missingsemicollon-apps-volumecontrol-35-65897602-b6bdc1a8965be645576558d104c8b10d.apk,com.missingsemicollon.apps.volumecontrol,Volume Control,35,Unknown,10,7,8,12,3,2,44938,0,3320.9296875,649
uptodown-com.animatedstickers.maker.apk,com.uptodown,Uptodown App Store,662,Unknown,29,82,15,17,4,13,215879,1,17983.509765625,2614
Facemoji_Keyboard_v2.8.5.1(1).apk,com.facemoji.lite.xiaomi.gp,Emoji Keyboard,677,Unknown,23,55,24,29,7,11,67531,1,31109.6962890625,6087
com-crazylab-cameramath-1517-67223837-b7310a920954432619599e4602027bc7.apk,com.crazylab.cameramath,CameraMath,1517,Unknown,18,81,13,14,8,18,113833,1,111943.4033203125,3375
photo-warp-vision-pro.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
Art Girl Wallpaper_g6v3_APKPure.apk,com.luxury.wallpaper06,Girl Wallpaper,3,Unknown,10,8,8,9,3,2,35910,0,5539.7431640625,1007
gps-route-tracker.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
com-marsvard-stickermakerforwhatsapp-1000902-66725305-a2113e0aa5528040de1b52ed68686915.apk,com.marsvard.stickermakerforwhatsapp,Sticker Maker,1000902,Unknown,18,52,21,14,13,17,221856,1,38890.18359375,1913
colorize-old-photo.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
com.photoeditor.photolab.photoart.effectart.art_filter.art_8.0.apk,com.photoeditor.photolab.photoart.effectart.art_filter.art,Art Effects,8,Unknown,35,37,17,15,6,3,66001,0,9714.62109375,1500
helectronsoft-com-grubl-live-wallpapers3d-375-69273388-c3b18b6c3b89213efba18413a2802ac2.apk,helectronsoft.com.grubl.live.wallpapers3d,GRUBL,375,Unknown,22,35,24,12,10,5,174281,0,19594.6171875,2575
com-marsvard-stickermakerforwhatsapp-1000902-66725305-a2113e0aa5528040de1b52ed68686915(1).apk,com.marsvard.stickermakerforwhatsapp,Sticker Maker,1000902,Unknown,18,52,21,14,13,17,221856,1,38890.18359375,1913
Smart QR Code Scanner & Generator (No Ads)_2.0.0_APKPure.apk,com.yudiz.qrcode.scanner.reader.generator,Smart QR Code Scanner & Generator,2,Unknown,3,5,1,0,1,2,24706,0,5846.8681640625,794
gps-location-finder.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
girlswallpaper.apk,cm.aptoide.pt,Aptoide,12050,Unknown,23,11,11,14,8,8,125675,1,20447.7607421875,4061
cat-simulator-2-1-1.apk,com.swiftapps.catsimulator2015pro,CatSimulator,100028,Unknown,12,13,1,2,1,5,51405,1,78914.150390625,689
